supervoxel_id	root_id	pos_x	pos_y	pos_z	soma_x	soma_y	soma_z	nucleus_id	flow	super_class	cell_class	cell_sub_class	cell_type	hemibrain_type	ito_lee_hemilineage	hartenstein_hemilineage	morphology_group	top_nt	top_nt_conf	known_nt	known_nt_source	side	nerve	vfb_id	fbbt_id	status
82124654185428318	720575940628599895	166944	70368	3332	166944.0	70368.0	3332.0	7137890.0	intrinsic	visual_projection				LC4				acetylcholine	0.5766362143419905	acetylcholine	Davis et al., 2020	right		fw016357	FBbt_00003874	
82265391673588417	720575940614582946	169456	71232	3191	169456.0	71232.0	3191.0	7138255.0	intrinsic	visual_projection				LC4				acetylcholine	0.6691109543646591	acetylcholine	Davis et al., 2020	right		fw016528	FBbt_00003874	
82265391673617331	720575940612323025	169624	70376	3200	169624.0	70376.0	3200.0	7138270.0	intrinsic	visual_projection				LC4				acetylcholine	0.6146961885617777	acetylcholine	Davis et al., 2020	right		fw016621	FBbt_00003874	
76564561456701160	720575940628699560	86208	56664	4204	86208.0	56664.0	4204.0	1852972.0	intrinsic	visual_projection				LC4				acetylcholine	0.5562240272872647	acetylcholine	Davis et al., 2020	left		fw016738	FBbt_00003874	
77198567282321152	720575940628454522	95320	66656	3975	95320.0	66656.0	3975.0	2123401.0	intrinsic	visual_projection				LC4				acetylcholine	0.5936377829701406	acetylcholine	Davis et al., 2020	left		fw016890	FBbt_00003874	
82195091648814600	720575940626553596	168800	71376	3149	168800.0	71376.0	3149.0	7138191.0	intrinsic	visual_projection				LC4				acetylcholine	0.6101868570055267	acetylcholine	Davis et al., 2020	right		fw016967	FBbt_00003874	
77198498629565877	720575940625934973	95528	66000	4177	95528.0	66000.0	4177.0	2124940.0	intrinsic	visual_projection				LC4				acetylcholine	0.5382800336561002	acetylcholine	Davis et al., 2020	left		fw017191	FBbt_00003874	
82265391673496381	720575940632475449	169240	70752	3126	169240.0	70752.0	3126.0	7138236.0	intrinsic	visual_projection				LC4				acetylcholine	0.6824870505121483	acetylcholine	Davis et al., 2020	right		fw017442	FBbt_00003874	
82124791624190736	720575940641213824	167592	72720	3187	167592.0	72720.0	3187.0	7137980.0	intrinsic	visual_projection				LC4				acetylcholine	0.6436635435549436	acetylcholine	Davis et al., 2020	right		fw017444	FBbt_00003874	
76846723561264930	720575940613260959	91016	67136	3819	91016.0	67136.0	3819.0	2121681.0	intrinsic	visual_projection				LC4				acetylcholine	0.656003414128343	acetylcholine	Davis et al., 2020	left		fw017453	FBbt_00003874	
82124654185301736	720575940628606713	167000	71216	3252	167000.0	71216.0	3252.0	7137899.0	intrinsic	visual_projection				LC4				acetylcholine	0.5968646831448027	acetylcholine	Davis et al., 2020	right		fw017585	FBbt_00003874	
82195091648979241	720575940625845447	167992	71472	3270	167992.0	71472.0	3270.0	7138036.0	intrinsic	visual_projection				LC4				acetylcholine	0.6071134880613442	acetylcholine	Davis et al., 2020	right		fw017949	FBbt_00003874	
82897954456935437	720575940625906702	179032	59976	3193	179032.0	59976.0	3193.0	7416494.0	intrinsic	visual_projection				LC4				acetylcholine	0.6203882423531925	acetylcholine	Davis et al., 2020	right		fw017951	FBbt_00003874	
76917092305380767	720575940620795728	91320	66480	3763	91320.0	66480.0	3763.0	2121858.0	intrinsic	visual_projection				LC4				acetylcholine	0.6169415525969965	acetylcholine	Davis et al., 2020	left		fw018154	FBbt_00003874	
82124448027076315	720575940613638041	167176	67856	3434	167176.0	67856.0	3434.0	7137929.0	intrinsic	visual_projection				LC4				acetylcholine	0.6072068060405593	acetylcholine	Davis et al., 2020	right		fw018159	FBbt_00003874	
77268729934937684	720575940614914107	96176	63864	4289	96176.0	63864.0	4289.0	2109988.0	intrinsic	visual_projection				LC4				acetylcholine	0.5909182510118784	acetylcholine	Davis et al., 2020	left		fw018251	FBbt_00003874	
82757216968860126	720575940620731380	176336	59344	3397	176336.0	59344.0	3397.0	7416249.0	intrinsic	visual_projection				LC4				acetylcholine	0.4638199069048779	acetylcholine	Davis et al., 2020	right		fw018339	FBbt_00003874	
77057829794088023	720575940638496720	93656	66336	4055	93656.0	66336.0	4055.0	2122783.0	intrinsic	visual_projection				LC4				acetylcholine	0.6227959599756708	acetylcholine	Davis et al., 2020	left		fw018401	FBbt_00003874	
76987461049855385	720575940631338271	92608	66304	4001	92608.0	66304.0	4001.0	2122498.0	intrinsic	visual_projection				LC4				acetylcholine	0.5593393128973626	acetylcholine	Davis et al., 2020	left		fw018449	FBbt_00003874	
82265391673658040	720575940617348379	168888	70728	3250	168888.0	70728.0	3250.0	7138199.0	intrinsic	visual_projection				LC4				acetylcholine	0.6434318170381085	acetylcholine	Davis et al., 2020	right		fw018542	FBbt_00003874	
82195091648900493	720575940613609484	168360	71912	3209	168360.0	71912.0	3209.0	7138098.0	intrinsic	visual_projection				LC4				acetylcholine	0.5494665663565431	acetylcholine	Davis et al., 2020	right		fw018744	FBbt_00003874	
82194954210066832	720575940652611745	168160	69704	3304	168160.0	69704.0	3304.0	7138072.0	intrinsic	visual_projection				LC4				acetylcholine	0.6646858635042873	acetylcholine	Davis et al., 2020	right		fw018787	FBbt_00003874	
82124722904633838	720575940633218863	167440	71864	3147	167440.0	71864.0	3147.0	7137962.0	intrinsic	visual_projection				LC4				acetylcholine	0.5827212716844562	acetylcholine	Davis et al., 2020	right		fw018820	FBbt_00003874	
76635067639845718	720575940615575007	87040	58480	4198	87040.0	58480.0	4198.0	1895592.0	intrinsic	visual_projection				LC4				acetylcholine	0.620446039336602	acetylcholine	Davis et al., 2020	left		fw018964	FBbt_00003874	
82124585465997897	720575940630154660	167224	69264	3393	167224.0	69264.0	3393.0	7137932.0	intrinsic	visual_projection				LC4				acetylcholine	0.634789856385066	acetylcholine	Davis et al., 2020	right		fw019113	FBbt_00003874	
82265322887375147	720575940618709158	169128	70224	2970	169128.0	70224.0	2970.0	7136774.0	intrinsic	visual_projection				LC4				acetylcholine	0.5830481425877776	acetylcholine	Davis et al., 2020	right		fw019214	FBbt_00003874	
77268729934995125	720575940625991043	96304	63184	4326	96304.0	63184.0	4326.0	2110013.0	intrinsic	visual_projection				LC4				acetylcholine	0.5881437167545813	acetylcholine	Davis et al., 2020	left		fw019639	FBbt_00003874	
76494742334614861	720575940626626895	85536	64208	3528	85536.0	64208.0	3528.0	1894258.0	intrinsic	visual_projection				LC4				acetylcholine	0.5479296438571722	acetylcholine	Davis et al., 2020	left		fw020214	FBbt_00003874	
82406129095270683	720575940628891863	171344	70304	3008	171344.0	70304.0	3008.0	7137085.0	intrinsic	visual_projection				LC4				acetylcholine	0.5508334659416535	acetylcholine	Davis et al., 2020	right		fw020396	FBbt_00003874	
82195022929581219	720575940624790781	168040	70472	3330	168040.0	70472.0	3330.0	7138047.0	intrinsic	visual_projection				LC4				acetylcholine	0.6624543681378827	acetylcholine	Davis et al., 2020	right		fw020533	FBbt_00003874	
